index,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
418,HIGHWAY,19380,19593,104,-2,2,2054,54,57,1
419,HIGHWAY,547,761,104,2,-2,193,20,18,1
420,HIGHWAY,2783,3003,104,2,2,537,31,27,1
421,HIGHWAY,412,620,104,2,-2,156,16,16,1
422,HIGHWAY,2649,2857,104,-2,-2,549,35,25,1
423,HIGHWAY,4475,4786,104,-2,-2,909,41,45,1
424,HIGHWAY,4111,4422,104,2,2,720,27,43,1
425,HIGHWAY,13930,14241,104,-2,2,1635,45,56,1
426,HIGHWAY,903,1214,104,-2,2,281,23,24,1
427,HIGHWAY,1299,1610,104,2,2,346,30,20,1
428,HIGHWAY,5896,6109,104,-2,-2,996,39,44,1
429,HIGHWAY,5475,5691,104,-2,2,869,37,36,1
430,HIGHWAY,3832,4052,104,-2,2,648,25,41,1
431,HIGHWAY,1437,1653,104,-2,-2,361,26,21,1
432,HIGHWAY,1295,1606,104,-2,-2,346,30,20,1
433,HIGHWAY,481,701,104,2,2,166,18,18,1
434,HIGHWAY,388,699,104,2,-2,186,18,20,1
435,HIGHWAY,16616,16832,104,-2,-2,2237,61,56,1
436,HIGHWAY,4819,5071,104,2,-2,765,31,39,1
437,HIGHWAY,1790,2016,104,-2,2,446,27,29,1
438,HIGHWAY,272,488,104,-2,-2,121,14,16,1
439,HIGHWAY,3245,3556,104,-2,-2,671,39,32,1
440,HIGHWAY,18927,19147,104,2,2,2222,68,53,1
441,HIGHWAY,2804,3012,104,2,-2,563,25,35,1
442,HIGHWAY,17992,18305,104,2,2,1861,55,54,1
443,HIGHWAY,9986,10215,104,-2,2,1423,45,52,1
444,HIGHWAY,9970,10212,104,-2,2,1150,49,44,1
445,HIGHWAY,372,590,104,2,-2,145,16,16,1
446,HIGHWAY,1494,1709,104,-2,2,352,27,23,1
